,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
320,LP002051,Male,Yes,0,Graduate,No,2400,2167,115,360,1,Semiurban,Y
321,LP002053,Male,Yes,3,Graduate,No,4342,189,124,360,1,Semiurban,Y
324,LP002065,Male,Yes,3,Graduate,No,15000,0,300,360,1,Rural,Y
325,LP002067,Male,Yes,1,Graduate,Yes,8666,4983,376,360,0,Rural,N
326,LP002068,Male,No,0,Graduate,No,4917,0,130,360,0,Rural,Y
327,LP002082,Male,Yes,0,Graduate,Yes,5818,2160,184,360,1,Semiurban,Y
328,LP002086,Female,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,N
329,LP002087,Female,No,0,Graduate,No,2500,0,67,360,1,Urban,Y
330,LP002097,Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,Y
331,LP002098,Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,Y
337,LP002112,Male,Yes,2,Graduate,Yes,2500,4600,176,360,1,Rural,Y
339,LP002114,Female,No,0,Graduate,No,4160,0,71,360,1,Semiurban,Y
340,LP002115,Male,Yes,3,Not Graduate,No,2647,1587,173,360,1,Rural,N
341,LP002116,Female,No,0,Graduate,No,2378,0,46,360,1,Rural,N
342,LP002119,Male,Yes,1,Not Graduate,No,4554,1229,158,360,1,Urban,Y
343,LP002126,Male,Yes,3,Not Graduate,No,3173,0,74,360,1,Semiurban,Y
345,LP002129,Male,Yes,0,Graduate,No,2499,2458,160,360,1,Semiurban,Y
347,LP002131,Male,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,Y
349,LP002138,Male,Yes,0,Graduate,No,2625,6250,187,360,1,Rural,Y
350,LP002139,Male,Yes,0,Graduate,No,9083,0,228,360,1,Semiurban,Y
351,LP002140,Male,No,0,Graduate,No,8750,4167,308,360,1,Rural,N
352,LP002141,Male,Yes,3,Graduate,No,2666,2083,95,360,1,Rural,Y
353,LP002142,Female,Yes,0,Graduate,Yes,5500,0,105,360,0,Rural,N
354,LP002143,Female,Yes,0,Graduate,No,2423,505,130,360,1,Semiurban,Y
356,LP002149,Male,Yes,2,Graduate,No,8333,3167,165,360,1,Rural,Y
357,LP002151,Male,Yes,1,Graduate,No,3875,0,67,360,1,Urban,N
358,LP002158,Male,Yes,0,Not Graduate,No,3000,1666,100,480,0,Urban,N
359,LP002160,Male,Yes,3,Graduate,No,5167,3167,200,360,1,Semiurban,Y
360,LP002161,Female,No,1,Graduate,No,4723,0,81,360,1,Semiurban,N
361,LP002170,Male,Yes,2,Graduate,No,5000,3667,236,360,1,Semiurban,Y
362,LP002175,Male,Yes,0,Graduate,No,4750,2333,130,360,1,Urban,Y
364,LP002180,Male,No,0,Graduate,Yes,6822,0,141,360,1,Rural,Y
365,LP002181,Male,No,0,Not Graduate,No,6216,0,133,360,1,Rural,N
366,LP002187,Male,No,0,Graduate,No,2500,0,96,480,1,Semiurban,N
368,LP002190,Male,Yes,1,Graduate,No,6325,0,175,360,1,Semiurban,Y
369,LP002191,Male,Yes,0,Graduate,No,19730,5266,570,360,1,Rural,N
370,LP002194,Female,No,0,Graduate,Yes,15759,0,55,360,1,Semiurban,Y
371,LP002197,Male,Yes,2,Graduate,No,5185,0,155,360,1,Semiurban,Y
372,LP002201,Male,Yes,2,Graduate,Yes,9323,7873,380,300,1,Rural,Y
373,LP002205,Male,No,1,Graduate,No,3062,1987,111,180,0,Urban,N
375,LP002211,Male,Yes,0,Graduate,No,4817,923,120,180,1,Urban,Y
376,LP002219,Male,Yes,3,Graduate,No,8750,4996,130,360,1,Rural,Y
378,LP002224,Male,No,0,Graduate,No,3069,0,71,480,1,Urban,N
379,LP002225,Male,Yes,2,Graduate,No,5391,0,130,360,1,Urban,Y
381,LP002229,Male,No,0,Graduate,No,5941,4232,296,360,1,Semiurban,Y
382,LP002231,Female,No,0,Graduate,No,6000,0,156,360,1,Urban,Y
383,LP002234,Male,No,0,Graduate,Yes,7167,0,128,360,1,Urban,Y
384,LP002236,Male,Yes,2,Graduate,No,4566,0,100,360,1,Urban,N
386,LP002239,Male,No,0,Not Graduate,No,2346,1600,132,360,1,Semiurban,Y
388,LP002244,Male,Yes,0,Graduate,No,2333,2417,136,360,1,Urban,Y
389,LP002250,Male,Yes,0,Graduate,No,5488,0,125,360,1,Rural,Y
390,LP002255,Male,No,3,Graduate,No,9167,0,185,360,1,Rural,Y
391,LP002262,Male,Yes,3,Graduate,No,9504,0,275,360,1,Rural,Y
393,LP002265,Male,Yes,2,Not Graduate,No,1993,1625,113,180,1,Semiurban,Y
394,LP002266,Male,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,Y
396,LP002277,Female,No,0,Graduate,No,3180,0,71,360,0,Urban,N
397,LP002281,Male,Yes,0,Graduate,No,3033,1459,95,360,1,Urban,Y
398,LP002284,Male,No,0,Not Graduate,No,3902,1666,109,360,1,Rural,Y
399,LP002287,Female,No,0,Graduate,No,1500,1800,103,360,0,Semiurban,N
400,LP002288,Male,Yes,2,Not Graduate,No,2889,0,45,180,0,Urban,N
401,LP002296,Male,No,0,Not Graduate,No,2755,0,65,300,1,Rural,N
402,LP002297,Male,No,0,Graduate,No,2500,20000,103,360,1,Semiurban,Y
403,LP002300,Female,No,0,Not Graduate,No,1963,0,53,360,1,Semiurban,Y
404,LP002301,Female,No,0,Graduate,Yes,7441,0,194,360,1,Rural,N
405,LP002305,Female,No,0,Graduate,No,4547,0,115,360,1,Semiurban,Y
406,LP002308,Male,Yes,0,Not Graduate,No,2167,2400,115,360,1,Urban,Y
407,LP002314,Female,No,0,Not Graduate,No,2213,0,66,360,1,Rural,Y
408,LP002315,Male,Yes,1,Graduate,No,8300,0,152,300,0,Semiurban,N
409,LP002317,Male,Yes,3,Graduate,No,81000,0,360,360,0,Rural,N
410,LP002318,Female,No,1,Not Graduate,Yes,3867,0,62,360,1,Semiurban,N
412,LP002328,Male,Yes,0,Not Graduate,No,6096,0,218,360,0,Rural,N
413,LP002332,Male,Yes,0,Not Graduate,No,2253,2033,110,360,1,Rural,Y
414,LP002335,Female,Yes,0,Not Graduate,No,2149,3237,178,360,0,Semiurban,N
415,LP002337,Female,No,0,Graduate,No,2995,0,60,360,1,Urban,Y
416,LP002341,Female,No,1,Graduate,No,2600,0,160,360,1,Urban,N
417,LP002342,Male,Yes,2,Graduate,Yes,1600,20000,239,360,1,Urban,N
418,LP002345,Male,Yes,0,Graduate,No,1025,2773,112,360,1,Rural,Y
419,LP002347,Male,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,Y
420,LP002348,Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,Y
422,LP002361,Male,Yes,0,Graduate,No,1820,1719,100,360,1,Urban,Y
424,LP002364,Male,Yes,0,Graduate,No,14880,0,96,360,1,Semiurban,Y
425,LP002366,Male,Yes,0,Graduate,No,2666,4300,121,360,1,Rural,Y
426,LP002367,Female,No,1,Not Graduate,No,4606,0,81,360,1,Rural,N
427,LP002368,Male,Yes,2,Graduate,No,5935,0,133,360,1,Semiurban,Y
428,LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y
429,LP002370,Male,No,0,Not Graduate,No,2717,0,60,180,1,Urban,Y
430,LP002377,Female,No,1,Graduate,Yes,8624,0,150,360,1,Semiurban,Y
431,LP002379,Male,No,0,Graduate,No,6500,0,105,360,0,Rural,N
433,LP002387,Male,Yes,0,Graduate,No,2425,2340,143,360,1,Semiurban,Y
434,LP002390,Male,No,0,Graduate,No,3750,0,100,360,1,Urban,Y
436,LP002398,Male,No,0,Graduate,No,1926,1851,50,360,1,Semiurban,Y
438,LP002403,Male,No,0,Graduate,Yes,10416,0,187,360,0,Urban,N
439,LP002407,Female,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,Y
440,LP002408,Male,No,0,Graduate,No,3660,5064,187,360,1,Semiurban,Y
441,LP002409,Male,Yes,0,Graduate,No,7901,1833,180,360,1,Rural,Y
442,LP002418,Male,No,3,Not Graduate,No,4707,1993,148,360,1,Semiurban,Y
443,LP002422,Male,No,1,Graduate,No,37719,0,152,360,1,Semiurban,Y
445,LP002429,Male,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,Y
446,LP002434,Male,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,Y
448,LP002443,Male,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,N
450,LP002446,Male,Yes,2,Not Graduate,No,2309,1255,125,360,0,Rural,N
452,LP002448,Male,Yes,0,Graduate,No,3948,1733,149,360,0,Rural,N
453,LP002449,Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,Y
454,LP002453,Male,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,Y
455,LP002455,Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,Y
456,LP002459,Male,Yes,0,Graduate,No,4301,0,118,360,1,Urban,Y
457,LP002467,Male,Yes,0,Graduate,No,3708,2569,173,360,1,Urban,N
458,LP002472,Male,No,2,Graduate,No,4354,0,136,360,1,Rural,Y
459,LP002473,Male,Yes,0,Graduate,No,8334,0,160,360,1,Semiurban,N
461,LP002484,Male,Yes,3,Graduate,No,7740,0,128,180,1,Urban,Y
462,LP002487,Male,Yes,0,Graduate,No,3015,2188,153,360,1,Rural,Y
464,LP002493,Male,No,0,Graduate,No,4166,0,98,360,0,Semiurban,N
465,LP002494,Male,No,0,Graduate,No,6000,0,140,360,1,Rural,Y
466,LP002500,Male,Yes,3,Not Graduate,No,2947,1664,70,180,0,Urban,N
469,LP002505,Male,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,N
470,LP002515,Male,Yes,1,Graduate,Yes,3450,2079,162,360,1,Semiurban,Y
471,LP002517,Male,Yes,1,Not Graduate,No,2653,1500,113,180,0,Rural,N
472,LP002519,Male,Yes,3,Graduate,No,4691,0,100,360,1,Semiurban,Y
474,LP002524,Male,No,2,Graduate,No,5532,4648,162,360,1,Rural,Y
475,LP002527,Male,Yes,2,Graduate,Yes,16525,1014,150,360,1,Rural,Y
476,LP002529,Male,Yes,2,Graduate,No,6700,1750,230,300,1,Semiurban,Y
478,LP002531,Male,Yes,1,Graduate,Yes,16667,2250,86,360,1,Semiurban,Y
480,LP002534,Female,No,0,Not Graduate,No,4350,0,154,360,1,Rural,Y
481,LP002536,Male,Yes,3,Not Graduate,No,3095,0,113,360,1,Rural,Y
482,LP002537,Male,Yes,0,Graduate,No,2083,3150,128,360,1,Semiurban,Y
483,LP002541,Male,Yes,0,Graduate,No,10833,0,234,360,1,Semiurban,Y
484,LP002543,Male,Yes,2,Graduate,No,8333,0,246,360,1,Semiurban,Y
485,LP002544,Male,Yes,1,Not Graduate,No,1958,2436,131,360,1,Rural,Y
486,LP002545,Male,No,2,Graduate,No,3547,0,80,360,0,Rural,N
487,LP002547,Male,Yes,1,Graduate,No,18333,0,500,360,1,Urban,N
488,LP002555,Male,Yes,2,Graduate,Yes,4583,2083,160,360,1,Semiurban,Y
489,LP002556,Male,No,0,Graduate,No,2435,0,75,360,1,Urban,N
492,LP002571,Male,No,0,Not Graduate,No,3691,0,110,360,1,Rural,Y
493,LP002582,Female,No,0,Not Graduate,Yes,17263,0,225,360,1,Semiurban,Y
494,LP002585,Male,Yes,0,Graduate,No,3597,2157,119,360,0,Rural,N
495,LP002586,Female,Yes,1,Graduate,No,3326,913,105,84,1,Semiurban,Y
496,LP002587,Male,Yes,0,Not Graduate,No,2600,1700,107,360,1,Rural,Y
498,LP002600,Male,Yes,1,Graduate,Yes,2895,0,95,360,1,Semiurban,Y
499,LP002602,Male,No,0,Graduate,No,6283,4416,209,360,0,Rural,N
500,LP002603,Female,No,0,Graduate,No,645,3683,113,480,1,Rural,Y
501,LP002606,Female,No,0,Graduate,No,3159,0,100,360,1,Semiurban,Y
502,LP002615,Male,Yes,2,Graduate,No,4865,5624,208,360,1,Semiurban,Y
504,LP002619,Male,Yes,0,Not Graduate,No,3814,1483,124,300,1,Semiurban,Y
505,LP002622,Male,Yes,2,Graduate,No,3510,4416,243,360,1,Rural,Y
508,LP002626,Male,Yes,0,Graduate,Yes,2479,3013,188,360,1,Urban,Y
509,LP002634,Female,No,1,Graduate,No,13262,0,40,360,1,Urban,Y
510,LP002637,Male,No,0,Not Graduate,No,3598,1287,100,360,1,Rural,N
511,LP002640,Male,Yes,1,Graduate,No,6065,2004,250,360,1,Semiurban,Y
512,LP002643,Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,Y
513,LP002648,Male,Yes,0,Graduate,No,2130,6666,70,180,1,Semiurban,N
514,LP002652,Male,No,0,Graduate,No,5815,3666,311,360,1,Rural,N
515,LP002659,Male,Yes,3,Graduate,No,3466,3428,150,360,1,Rural,Y
516,LP002670,Female,Yes,2,Graduate,No,2031,1632,113,480,1,Semiurban,Y
518,LP002683,Male,No,0,Graduate,No,4683,1915,185,360,1,Semiurban,N
519,LP002684,Female,No,0,Not Graduate,No,3400,0,95,360,1,Rural,N
520,LP002689,Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,Semiurban,Y
521,LP002690,Male,No,0,Graduate,No,2500,0,55,360,1,Semiurban,Y
522,LP002692,Male,Yes,3,Graduate,Yes,5677,1424,100,360,1,Rural,Y
523,LP002693,Male,Yes,2,Graduate,Yes,7948,7166,480,360,1,Rural,Y
525,LP002699,Male,Yes,2,Graduate,Yes,17500,0,400,360,1,Rural,Y
526,LP002705,Male,Yes,0,Graduate,No,3775,0,110,360,1,Semiurban,Y
527,LP002706,Male,Yes,1,Not Graduate,No,5285,1430,161,360,0,Semiurban,Y
528,LP002714,Male,No,1,Not Graduate,No,2679,1302,94,360,1,Semiurban,Y
529,LP002716,Male,No,0,Not Graduate,No,6783,0,130,360,1,Semiurban,Y
531,LP002720,Male,Yes,3,Graduate,No,4281,0,100,360,1,Urban,Y
532,LP002723,Male,No,2,Graduate,No,3588,0,110,360,0,Rural,N
534,LP002731,Female,No,0,Not Graduate,Yes,18165,0,125,360,1,Urban,Y
536,LP002734,Male,Yes,0,Graduate,No,6133,3906,324,360,1,Urban,Y
537,LP002738,Male,No,2,Graduate,No,3617,0,107,360,1,Semiurban,Y
538,LP002739,Male,Yes,0,Not Graduate,No,2917,536,66,360,1,Rural,N
539,LP002740,Male,Yes,3,Graduate,No,6417,0,157,180,1,Rural,Y
540,LP002741,Female,Yes,1,Graduate,No,4608,2845,140,180,1,Semiurban,Y
541,LP002743,Female,No,0,Graduate,No,2138,0,99,360,0,Semiurban,N
543,LP002755,Male,Yes,1,Not Graduate,No,2239,2524,128,360,1,Urban,Y
545,LP002767,Male,Yes,0,Graduate,No,2768,1950,155,360,1,Rural,Y
546,LP002768,Male,No,0,Not Graduate,No,3358,0,80,36,1,Semiurban,N
547,LP002772,Male,No,0,Graduate,No,2526,1783,145,360,1,Rural,Y
548,LP002776,Female,No,0,Graduate,No,5000,0,103,360,0,Semiurban,N
549,LP002777,Male,Yes,0,Graduate,No,2785,2016,110,360,1,Rural,Y
552,LP002785,Male,Yes,1,Graduate,No,3333,3250,158,360,1,Urban,Y
553,LP002788,Male,Yes,0,Not Graduate,No,2454,2333,181,360,0,Urban,N
554,LP002789,Male,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,N
555,LP002792,Male,Yes,1,Graduate,No,5468,1032,26,360,1,Semiurban,Y
557,LP002795,Male,Yes,3,Graduate,Yes,10139,0,260,360,1,Semiurban,Y
558,LP002798,Male,Yes,0,Graduate,No,3887,2669,162,360,1,Semiurban,Y
559,LP002804,Female,Yes,0,Graduate,No,4180,2306,182,360,1,Semiurban,Y
560,LP002807,Male,Yes,2,Not Graduate,No,3675,242,108,360,1,Semiurban,Y
561,LP002813,Female,Yes,1,Graduate,Yes,19484,0,600,360,1,Semiurban,Y
562,LP002820,Male,Yes,0,Graduate,No,5923,2054,211,360,1,Rural,Y
563,LP002821,Male,No,0,Not Graduate,Yes,5800,0,132,360,1,Semiurban,Y
564,LP002832,Male,Yes,2,Graduate,No,8799,0,258,360,0,Urban,N
566,LP002836,Male,No,0,Graduate,No,3333,0,70,360,1,Urban,Y
567,LP002837,Male,Yes,3,Graduate,No,3400,2500,123,360,0,Rural,N
568,LP002840,Female,No,0,Graduate,No,2378,0,9,360,1,Urban,N
569,LP002841,Male,Yes,0,Graduate,No,3166,2064,104,360,0,Urban,N
570,LP002842,Male,Yes,1,Graduate,No,3417,1750,186,360,1,Urban,Y
572,LP002855,Male,Yes,2,Graduate,No,16666,0,275,360,1,Urban,Y
573,LP002862,Male,Yes,2,Not Graduate,No,6125,1625,187,480,1,Semiurban,N
574,LP002863,Male,Yes,3,Graduate,No,6406,0,150,360,1,Semiurban,N
575,LP002868,Male,Yes,2,Graduate,No,3159,461,108,84,1,Urban,Y
577,LP002874,Male,No,0,Graduate,No,3229,2739,110,360,1,Urban,Y
578,LP002877,Male,Yes,1,Graduate,No,1782,2232,107,360,1,Rural,Y
580,LP002892,Male,Yes,2,Graduate,No,6540,0,205,360,1,Semiurban,Y
581,LP002893,Male,No,0,Graduate,No,1836,33837,90,360,1,Urban,N
582,LP002894,Female,Yes,0,Graduate,No,3166,0,36,360,1,Semiurban,Y
584,LP002911,Male,Yes,1,Graduate,No,2787,1917,146,360,0,Rural,N
585,LP002912,Male,Yes,1,Graduate,No,4283,3000,172,84,1,Rural,N
586,LP002916,Male,Yes,0,Graduate,No,2297,1522,104,360,1,Urban,Y
587,LP002917,Female,No,0,Not Graduate,No,2165,0,70,360,1,Semiurban,Y
589,LP002926,Male,Yes,2,Graduate,Yes,2726,0,106,360,0,Semiurban,N
590,LP002928,Male,Yes,0,Graduate,No,3000,3416,56,180,1,Semiurban,Y
591,LP002931,Male,Yes,2,Graduate,Yes,6000,0,205,240,1,Semiurban,N
593,LP002936,Male,Yes,0,Graduate,No,3859,3300,142,180,1,Rural,Y
594,LP002938,Male,Yes,0,Graduate,Yes,16120,0,260,360,1,Urban,Y
595,LP002940,Male,No,0,Not Graduate,No,3833,0,110,360,1,Rural,Y
596,LP002941,Male,Yes,2,Not Graduate,Yes,6383,1000,187,360,1,Rural,N
598,LP002945,Male,Yes,0,Graduate,Yes,9963,0,180,360,1,Rural,N
599,LP002948,Male,Yes,2,Graduate,No,5780,0,192,360,1,Urban,N
602,LP002953,Male,Yes,3,Graduate,No,5703,0,128,360,1,Urban,N
603,LP002958,Male,No,0,Graduate,No,3676,4301,172,360,1,Rural,N
604,LP002959,Female,Yes,1,Graduate,No,12000,0,496,360,1,Semiurban,N
606,LP002961,Male,Yes,1,Graduate,No,3400,2500,173,360,1,Semiurban,N
607,LP002964,Male,Yes,2,Not Graduate,No,3987,1411,157,360,1,Rural,N
608,LP002974,Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,N
609,LP002978,Female,No,0,Graduate,No,2900,0,71,360,1,Rural,N
610,LP002979,Male,Yes,3,Graduate,No,4106,0,40,180,1,Rural,N
611,LP002983,Male,Yes,1,Graduate,No,8072,240,253,360,1,Urban,Y
612,LP002984,Male,Yes,2,Graduate,No,7583,0,187,360,1,Urban,Y
613,LP002990,Female,No,0,Graduate,Yes,4583,0,133,360,0,Semiurban,N
584,LP00295111,Male,Yes,1,Graduate,No,2787,1917,146,360,0,Rural,N
585,LP0025920,Male,Yes,1,Graduate,No,4283,3000,172,84,1,Rural,N
586,LP00291601,Male,Yes,0,Graduate,No,2297,1522,104,360,1,Urban,Y
587,LP0029170,Female,No,0,Not Graduate,No,2165,0,70,360,1,Semiurban,Y
589,LP0029108,Male,Yes,2,Graduate,Yes,2726,0,106,360,0,Semiurban,N
590,LP0029191,Male,Yes,0,Graduate,No,3000,3416,56,180,1,Semiurban,N
591,LP0029201,Male,Yes,2,Graduate,Yes,6000,0,205,240,1,Semiurban,N
593,LP0029211,Male,Yes,0,Graduate,No,3859,3300,142,180,1,Rural,N
594,LP0029227,Male,Yes,0,Graduate,Yes,16120,0,260,360,1,Urban,N
595,LP0029232,Male,No,0,Not Graduate,No,3833,0,110,360,1,Rural,N
596,LP0029241,Male,Yes,2,Not Graduate,Yes,6383,1000,187,360,1,Rural,N
598,LP0029258,Male,Yes,0,Graduate,Yes,9963,0,180,360,1,Rural,N
599,LP002926,Male,Yes,2,Graduate,No,5780,0,192,360,1,Urban,N
602,LP002927,Male,Yes,3,Graduate,No,5703,0,128,360,1,Urban,N
603,LP002928,Male,No,0,Graduate,No,3676,4301,172,360,1,Rural,N
604,LP002929,Female,Yes,1,Graduate,No,12000,0,496,360,1,Semiurban,Y
606,LP002930,Male,Yes,1,Graduate,No,3400,2500,173,360,1,Semiurban,Y
607,LP002931,Male,Yes,2,Not Graduate,No,3987,1411,157,360,1,Rural,Y
608,LP002932,Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,Y
609,LP002933,Female,No,0,Graduate,No,2900,0,71,360,1,Rural,Y
610,LP002934,Male,Yes,3,Graduate,No,4106,0,40,180,1,Rural,Y
611,LP002935,Male,Yes,1,Graduate,No,8072,240,253,360,1,Urban,Y
612,LP002936,Male,Yes,2,Graduate,No,7583,0,187,360,1,Urban,Y
613,LP002937,Female,No,0,Graduate,Yes,4583,0,133,360,0,Semiurban,N
